Disease Name,Medicine Name,Standard Industry Number (SIN),Company,Active Ingredient Name
Influenza,Tamiflu,0004-0800-85,Roche,Oseltamivir Phosphate
Common Cold,Zicam,62750-005-10,Matrixx Initiatives,Zincum Gluconicum
Eczema,Elidel,0078-0420-15,Novartis,Pimecrolimus
Asthma,ProAir HFA,59310-579-22,"Teva Respiratory, LLC",Albuterol Sulfate
Hyperthyroidism,Tapazole,0085-0076-01,Pfizer,Methimazole
Allergic Rhinitis,Claritin,11523-7235,Bayer,Loratadine
Anxiety Disorders,Xanax,0009-0029-07,Pfizer,Alprazolam
Diabetes,Glucophage,0006-5429-31,Bristol-Myers Squibb,Metformin Hydrochloride
Gastroenteritis,Imodium,50580-485-16,Johnson & Johnson,Loperamide Hydrochloride
Pancreatitis,Creon,0002-0805-20,AbbVie,Pancrelipase
Rheumatoid Arthritis,Humira,0074-4380-02,AbbVie,Adalimumab
Depression,Prozac,0004-0800-85,Eli Lilly,Fluoxetine Hydrochloride
Liver Cancer,Nexavar,0003-2077-20,Bayer,Sorafenib Tosylate
Stroke,Plavix,63653-1178-05,Bristol-Myers Squibb,Clopidogrel Bisulfate
Urinary Tract Infection,Cipro,0009-7911-02,Bayer,Ciprofloxacin Hydrochloride
Dengue Fever,Dengvaxia (vaccine),49281-0419-10,Sanofi,Dengue Vaccine (live attenuated)
Hepatitis,Harvoni,0007-6580-30,Gilead Sciences,Ledipasvir and Sofosbuvir
Kidney Cancer,Sutent,0004-0112-50,Pfizer,Sunitinib Malate
Migraine,Imitrex,0024-5893-83,GlaxoSmithKline,Sumatriptan Succinate
Muscular Dystrophy,Emflaza,73129-0001-01,Marathon Pharma,Deflazacort
Sinusitis,Augmentin,0002-4335-02,GlaxoSmithKline,Amoxicillin and Clavulanate Potassium
Ulcerative Colitis,Remicade,57894-030-01,Janssen Biotech,Infliximab
Bipolar Disorder,Lithium Carbonate,0009-0003-01,Various Manufacturers,Lithium Carbonate
Bronchitis,Mucinex,63824-100-60,Reckitt Benckiser,Guaifenesin
Cerebral Palsy,Baclofen,60505-0155-04,Upsher-Smith,Baclofen
Colorectal Cancer,Avastin,50242-006-10,Genentech,Bevacizumab
Hypertensive Heart Disease,Norvasc,0069-1530-68,Pfizer,Amlodipine Besylate
Multiple Sclerosis,Copaxone,68546-326-02,Teva Pharmaceuticals,Glatiramer Acetate
Myocardial Infarction,Aspirin,0054-8207-25,Bayer,Acetylsalicylic Acid (Aspirin)
Osteoporosis,Fosamax,0006-0070-31,Merck & Co.,Alendronate Sodium
Pneumonia,Levaquin,25010-110-01,Janssen Pharmaceuticals,Levofloxacin
Atherosclerosis,Lipitor,0009-5141-01,Pfizer,Atorvastatin Calcium
Chronic Obstructive Pulmonary Disease,Spiriva,0597-0071-02,Boehringer Ingelheim,Tiotropium Bromide
Epilepsy,Keppra,50474-588-01,UCB Pharma,Levetiracetam
Hypertension,Norvasc,0069-1530-68,Pfizer,Amlodipine Besylate
Obsessive-Compulsive Disorder,Zoloft,0007-6871-03,Pfizer,Sertraline
Psoriasis,Enbrel,58406-425-04,Amgen,Etanercept
Rubella,M-M-R II (vaccine),0006-4681-41,Merck & Co.,"Measles, Mumps, and Rubella Virus Vaccine"
Cirrhosis,Lasix,0037-0310-01,Sanofi,Furosemide
Conjunctivitis (Pink Eye),Polytrim,0004-0201-01,Allergan,Polymyxin B and Trimethoprim
Liver Disease,Ursodiol,67877-0007-01,Lannett Company,Ursodiol
Malaria,Coartem,49281-0562-01,Novartis,Artemether and Lumefantrine
Spina Bifida,Folic Acid (supplement),00591-0410-01,Various Manufacturers,Folic Acid
Kidney Disease,Renvela,58468-0130-10,Sanofi,Sevelamer Carbonate
Osteoarthritis,Celebrex,0002-0800-85,Pfizer,Celecoxib
Klinefelter Syndrome,AndroGel,0002-1205-31,AbbVie,Testosterone Gel
Acne,Accutane,0085-1404-02,Roche,Isotretinoin
Brain Tumor,Temodar,0085-1327-01,Merck & Co.,Temozolomide
Cystic Fibrosis,Trikafta,51167-850-01,Vertex Pharmaceuticals,"Elexacaftor, Tezacaftor, and Ivacaftor"
